NOME_CAMPO,DEFINIZIONE
P127,Occupati -Maschi - Lavoratori dipendenti in Altre attività
P128,Non appartenente alle forze lavoro - TOTALE
P129,Non appartenente alle forze lavoro - Maschi
P130,Non forze lavoro - casalinghi/e
P131,Non forze lavoro - studenti
P132,Non forze lavoro - Maschi - Studenti
P133,Non forze lavoro - Ritirati dal lavoro
P134,Non forze lavoro - Maschi - Ritirati dal lavoro
P135,Non forze lavoro - Altra condizione
P136,Non forze lavoro - Maschi - Altra condizione
P137,Popolazione residente che si sposta giornalmente nel comune di dimora abituale
P138,Popolazione residente che si sposta giornalmente fuori del comune di dimora abituale
A1,Abitazioni totali
A2,Abitazioni occupate da persone residenti
A3,Abitazioni occupate solo da persone non residenti
A4,Abitazioni vuote
A5,Altri tipi di alloggio-TOTALE
A6,Stanze in totale
A7,Stanze in abitazioni occupate da persone residenti
A9,Abitazioni occupate da persone residenti in proprietà
A10,Abitazioni occupate da persone residenti in affitto
A11,Abitazioni occupate da persone residenti ad altro titolo
A12,Abitazioni occupate da persone residenti con una stanza
A13,Abitazioni occupate da persone residenti con 2 stanze
A14,Abitazioni occupate da persone residenti con 3 stanze
A15,Abitazioni occupate da persone residenti con 4 stanze
A16,Abitazioni occupate da persone residenti con 5 stanze
A17,Abitazioni occupate da persone residenti con 6 o più stanze
A18,Abitazioni totali fornite acqua potabile
A19,Abitazioni totali fornite di gabinetto
A20,Abitazioni totali fornite di vasca da bagno e/o doccia
A21,Abitazioni occupate da persone residenti fornite di una linea telefonica fissa attiva
A22,Abitazioni totali senza acqua potabile e gabinetto
A23,Superficie delle abitazioni totali
A24,Abitazioni occupate da persone residenti fornite di impianto di riscaldamento - TOTALE
A25,Abitazioni totali fornite di impianto di riscaldamento centralizzato
A44,Superficie delle abitazioni occupate da persone residenti
E1,Edifici e complessi di edifici - Totale
E2,Edifici e complessi di edifici utilizzati
E3,Edifici ad uso abitativo
E4,"Edifici e complessi di edifici (utilizzati) per alberghi, uffici, commercio e industria, comunicazioni e trasporti"
E6,Edifici ad uso abitativo in muratura portante
E7,Edifici ad uso abitativo in calcestruzzo armato
E9,Edifici ad uso abitativo costruiti prima del 1919
E10,Edifici ad uso abitativo costruiti tra il 1919 e il 1945
E11,Edifici ad uso abitativo costruiti tra il 1946 e il 1961
E12,Edifici ad uso abitativo costruiti tra il 1962 e il 1971
E13,Edifici ad uso abitativo costruiti tra il 1972 e il 1981
E14,Edifici ad uso abitativo costruiti tra il 1982 e il 1991
E15,Edifici ad uso abitativo costruiti dopo il 1991
E16,Edifici ad uso abitativo con un piano
E17,Edifici ad uso abitativo con 2 piani
E18,Edifici ad uso abitativo con 3 piani
E19,Edifici ad uso abitativo con 4 piani o più
E20,Edifici ad uso abitativo con un interno
E21,Edifici ad uso abitativo con 2 interni
E22,Edifici ad uso abitativo da 3 a 10 interni
E23,Edifici ad uso abitativo con più di dieci interni
E24,Totale interni in edifici ad uso abitativo
PF1,Famiglie totale
PF2,Totale componenti delle famiglie
PF3,Famiglie 1 componente
PF4,Famiglie 2 componenti
PF5,Famiglie 3 componenti
PF6,Famiglie 4 componenti
PF7,Famiglie 5 componenti
PF8,Famiglie 6 e oltre componenti
PF9,Componenti delle famiglie residenti di 6 e oltre componenti
ST01,Stranieri residenti in Italia - Europa
ST02,Stranieri residenti in Italia - Africa
ST03,Stranieri residenti in Italia - America
ST04,Stranieri in Italia - Asia
ST05,Stranieri in Italia - Oceania
ST06,Apolidi residenti in Italia
ST07,Stranieri residenti in Italia - Totale
education,tasso laureati P47/P1
foreigners,tasso stranieri ST07/P1
male_share,tasso Maschi P47/P1
marital_status,tasso sposati P8/P1
employment,tasso occupati P61/P60
citizenship,tasso cittadinanza italiana ST1/P1
student,tasso studenti P131/P1
children,tasso famiglie con bambini (PF3+PF4)/PF1
age_over78,tasso over 75 P29/P1
under_35,under 35 P20/P1
male_not_educated,male_not_educated
commuter,commuter
unipersonal_family,unipersonal_family
large_family,large_family
new_building,new_building
